The copyright to the intellectual property of this file is held by www.climatedata.info
Title,"Temperature, CO2 and Milankovitch cycles - EPICA",,
Source,http://www.ncdc.noaa.gov/paleo/indexice.html,,
Source,http://www1.ncdc.noaa.gov/pub/data/paleo/climate_forcing/orbital_variations/berger_insolation/,,
BP,Temperature,CO2,Milankovich
-319600,-4.427,254.898,475.73
-319500,-4.45,255.8,476.5
-319400,-4.421,253.854,477.28
-319300,-4.37,251.422,478.05
-319200,-4.383,248.99,478.83
-319100,-4.41,246.558,479.6
-319000,-4.452,244.126,480.38
-318900,-4.528,241.694,481.15
-318800,-4.57,239.261,482.1
-318700,-5.035,236.829,483.04
-318600,-5.3,233.4,483.99
-318500,-4.797,234.244,484.93
-318400,-4.41,235.674,485.87
-318300,-4.308,237.105,486.82
-318200,-4.22,238.535,487.76
-318100,-3.878,239.965,488.71
-318000,-3.6,241.395,489.65
-317900,-3.411,242.826,490.6
-317800,-3.29,244.256,491.59
-317700,-3.529,245.2,492.58
-317600,-3.65,246.225,493.57
-317500,-3.498,246.989,494.57
-317400,-3.44,247.754,495.56
-317300,-3.57,248.519,496.55
-317200,-3.452,249.283,497.55
-317100,-3.2,250.048,498.54
-317000,-3.167,250.812,499.53
-316900,-3.12,251.6,500.52
-316800,-3.03,254.523,501.47
-316700,-2.95,257.535,502.41
-316600,-2.976,260.548,503.36
-316500,-2.99,263.561,504.3
-316400,-2.69,266.574,505.25
-316300,-2.059,269.587,506.19
-316200,-1.27,272.6,507.13
-316100,-1.61,268.492,508.08
-316000,-1.775,264.384,509.02
-315900,-2.05,260.275,509.97
-315800,-2.37,256.167,510.79
-315700,-2.6,252.059,511.61
-315600,-2.28,246.8,512.44
-315500,-2.788,247.852,513.26
-315400,-3.84,249.313,514.08
-315300,-3.755,250.774,514.91
-315200,-3.62,252.235,515.73
-315100,-3.047,253.696,516.55
-315000,-2.5,255.157,517.38
-314900,-2.733,257.1,518.2
-314800,-2.84,257.063,518.76
-314700,-3.23,257.008,519.31
-314600,-3.387,256.952,519.87
-314500,-3.67,256.897,520.43
-314400,-3.467,256.842,520.99
-314300,-3.22,256.786,521.54
-314200,-3.354,256.731,522.1
-314100,-3.46,256.7,522.66
-314000,-3.678,255.694,523.21
-313900,-3.8,254.995,523.77
-313800,-2.85,254.297,524.06
-313700,-3.188,253.598,524.35
-313600,-3.9,252.9,524.64
-313500,-3.71,252.201,524.93
-313400,-3.43,251.6,525.22
-313300,-3.887,250.102,525.51
-313200,-4.4,248.787,525.8
-313100,-4.213,247.473,526.1
-313000,-4.03,246.159,526.39
-312900,-4.041,244.844,526.68
-312800,-4.05,243.53,526.65
-312700,-4.64,241.9,526.63
-312600,-5.11,241.627,526.6
-312500,-4.922,241.268,526.58
-312400,-4.76,240.909,526.56
-312300,-4.581,240.551,526.53
-312200,-4.43,240.192,526.51
-312100,-4.794,239.833,526.48
-312000,-5.11,239.474,526.46
-311900,-5.01,239,526.43
-311800,-4.92,238.905,526.12
-311700,-5.123,238.764,525.8
-311600,-5.33,238.624,525.49
-311500,-5.411,238.484,525.17
-311400,-5.51,238.343,524.86
-311300,-5.467,238.203,524.55
-311200,-5.41,238.063,524.23
-311100,-5.319,237.922,523.92
-311000,-5.19,237.8,523.6
-310900,-5.198,237.185,523.29
-310800,-5.21,236.641,522.68
-310700,-5.47,236.096,522.08
-310600,-5.97,235.552,521.47
-310500,-5.818,235.007,520.86
-310400,-5.545,234.463,520.26
-310300,-5.4,233.919,519.65
-310200,-5.653,233.2,519.05
-310100,-5.77,232.589,518.44
-310000,-5.561,231.69,517.84
-309900,-5.44,230.792,517.23
-309800,-5.945,229.893,516.46
-309700,-6.36,228.995,515.68
-309600,-6.122,228.096,514.91
-309500,-5.84,227.197,514.13
-309400,-5.785,226.2,513.36
-309300,-5.7,226.421,512.58
-309200,-5.57,226.669,511.81
-309100,-5.33,226.917,511.03
-309000,-5.466,227.165,510.26
-308900,-5.76,227.413,509.48
-308800,-5.852,227.661,508.59
-308700,-6.017,227.8,507.69
-308600,-6.12,227.569,506.8
-308500,-5.725,227.409,505.9
-308400,-5.53,227.249,505
-308300,-5.83,227.089,504.11
-308200,-6.02,226.929,503.21
-308100,-6.21,226.769,502.32
-308000,-6.38,226.609,501.42
-307900,-6.456,226.449,500.52
-307800,-6.56,226.288,499.65
-307700,-6.63,226.128,498.78
-307600,-6.73,225.968,497.91
-307500,-6.79,225.8,497.04
-307400,-6.917,227.704,496.17
-307300,-6.99,229.708,495.29
-307200,-7.291,231.712,494.42
-307100,-7.59,233.717,493.55
-307000,-7.253,235.721,492.68
-306900,-6.66,237.725,491.81
-306800,-6.419,239.729,491.01
-306700,-5.8,241.734,490.21
-306600,-5.595,243.738,489.41
-306500,-5.06,244.8,488.61
-306400,-5.183,245.426,487.81
-306300,-5.47,245.852,487.01
-306200,-5.411,246.278,486.21
-306100,-5.28,246.704,485.41
-306000,-5.325,247.13,484.61
-305900,-5.42,247.556,483.82
-305800,-5.111,247.982,483.19
-305700,-4.57,248.6,482.56
-305600,-4.42,248.717,481.93
-305500,-4.25,248.929,481.3
-305400,-4.065,249.141,480.67
-305300,-3.95,249.353,480.04
-305200,-4.473,249.566,479.41
-305100,-4.67,249.778,478.78
-305000,-5.27,249.99,478.15
-304900,-5.146,250.2,477.52
-304800,-4.85,248.766,477.13
-304700,-4.97,247.346,476.74
-304600,-5.2,245.926,476.36
-304500,-5.272,244.506,475.97
-304400,-5.39,243.086,475.58
-304300,-5.263,241.666,475.2
-304200,-5.1,240.7,474.81
-304100,-5.261,240.634,474.42
-304000,-5.42,240.585,474.03
-303900,-5.046,240.535,473.65
-303800,-4.73,240.485,473.5
-303700,-5.341,240.436,473.35
-303600,-5.82,240.386,473.21
-303500,-5.489,240.336,473.06
-303400,-5.25,240.287,472.92
-303300,-5.507,240.237,472.77
-303200,-5.68,240.2,472.63
-303100,-5.935,239.641,472.48
-303000,-6.12,239.197,472.34
-302900,-6.264,238.753,472.19
-302800,-6.39,238.309,472.34
-302700,-6.313,237.865,472.48
-302600,-6.23,237.421,472.63
-302500,-6.098,236.977,472.77
-302400,-5.94,236.533,472.92
-302300,-6.368,236,473.06
-302200,-7.01,236.273,473.21
-302100,-7.028,236.615,473.35
-302000,-7.054,236.957,473.5
-301900,-7.07,237.298,473.65
-301800,-7.064,237.64,474.08
-301700,-7.06,237.982,474.52
-301600,-7.402,238.324,474.95
-301500,-7.69,238.665,475.39
-301400,-7.442,239,475.82
-301300,-7.14,238.682,476.26
-301200,-6.933,238.37,476.7
-301100,-6.57,238.058,477.13
-301000,-6.489,237.747,477.57
-300900,-6.31,237.435,478
-300800,-6.2,237.123,478.68
-300700,-5.93,236.811,479.36
-300600,-5.605,236.499,480.04
-300500,-4.91,236.1,480.72
-300400,-5.164,235.669,481.39
-300300,-5.57,235.069,482.07
-300200,-5.695,234.47,482.75
-300100,-5.87,233.871,483.43
-300000,-5.921,233.271,484.11
-299900,-5.99,232.672,484.78
-299800,-6.226,232.073,485.63
-299700,-6.57,231.473,486.48
-299600,-6.592,231,487.33
-299500,-6.63,230.093,488.17
-299400,-6.548,229.343,489.02
-299300,-6.37,228.593,489.87
-299200,-6.418,227.843,490.72
-299100,-6.54,227.093,491.56
-299000,-6.574,226.343,492.41
-298900,-6.64,225.593,493.26
-298800,-6.68,224.843,494.28
-298700,-7.047,224.4,495.29
-298600,-7.24,223.145,496.31
-298500,-7.188,222.255,497.33
-298400,-7.15,221.364,498.34
-298300,-7.359,220.474,499.36
-298200,-7.6,219.584,500.38
-298100,-7.67,218.694,501.4
-298000,-7.761,217.803,502.41
-297900,-7.81,217.1,503.43
-297800,-7.476,216.857,504.47
-297700,-7.35,216.656,505.51
-297600,-7.809,216.455,506.55
-297500,-8.03,216.254,507.59
-297400,-7.649,216.053,508.64
-297300,-7.38,215.852,509.68
-297200,-7.216,215.652,510.72
-297100,-7.05,215.451,511.76
-297000,-7.007,215.25,512.8
-296900,-6.95,215.049,513.84
-296800,-6.715,214.848,514.86
-296700,-6.37,214.647,515.88
-296600,-6.163,214.446,516.89
-296500,-5.87,214.245,517.91
-296400,-5.773,214.044,518.93
-296300,-5.66,213.843,519.94
-296200,-5.251,213.642,520.96
-296100,-4.93,213.442,521.98
-296000,-5.704,213.241,523
-295900,-6.17,213.1,524.01
-295800,-6.482,213.062,524.91
-295700,-6.68,213.033,525.8
-295600,-6.969,213.003,526.7
-295500,-7.2,212.974,527.6
-295400,-7.21,212.944,528.49
-295300,-7.22,212.915,529.39
-295200,-7.386,212.886,530.28
-295100,-7.62,212.856,531.18
-295000,-7.756,212.827,532.08
-294900,-7.954,212.798,532.97
-294800,-8.07,212.768,533.7
-294700,-7.792,212.739,534.43
-294600,-7.63,212.7,535.15
-294500,-7.577,212.183,535.88
-294400,-7.53,211.422,536.6
-294300,-6.986,210.662,537.33
-294200,-6.4,209.902,538.06
-294100,-6.734,209.141,538.78
-294000,-7.14,208.381,539.51
-293900,-7.305,207.62,540.24
-293800,-7.58,206.7,540.72
-293700,-7.629,206.623,541.21
-293600,-7.709,206.527,541.69
-293500,-7.76,206.43,542.17
-293400,-7.434,206.333,542.66
-293300,-7.27,206.236,543.14
-293200,-7.087,206.139,543.63
-293100,-6.98,206,544.11
-293000,-6.446,206.14,544.6
-292900,-6.14,206.385,545.08
-292800,-6.316,206.631,545.3
-292700,-6.41,206.876,545.52
-292600,-6.33,207.122,545.73
-292500,-6.29,207.367,545.95
-292400,-6.564,207.6,546.17
-292300,-6.7,208.561,546.39
-292200,-6.335,209.476,546.61
-292100,-6.17,210.391,546.82
-292000,-5.72,211.307,547.04
-291900,-5.623,212.222,547.26
-291800,-5.41,213.137,547.21
-291700,-5.831,214.052,547.16
-291600,-6.43,214.968,547.11
-291500,-6.083,215.883,547.07
-291400,-5.73,217.1,547.02
-291300,-5.474,217.447,546.97
-291200,-5.31,217.965,546.92
-291100,-5.12,218.483,546.87
-291000,-5.057,219.001,546.82
-290900,-4.97,219.519,546.77
-290800,-4.586,220.037,546.46
-290700,-4.4,220.4,546.15
-290600,-4.57,223.667,545.83
-290500,-4.444,226.18,545.52
-290400,-4.33,228.693,545.2
-290300,-3.84,231.206,544.89
-290200,-3.835,234.9,544.57
-290100,-3.83,234.792,544.26
-290000,-4.07,234.589,543.94
-289900,-4.174,234.386,543.63
-289800,-4.31,234.183,543.05
-289700,-4.777,233.98,542.46
-289600,-4.99,233.777,541.88
-289500,-4.97,233.574,541.3
-289400,-4.989,233.371,540.72
-289300,-5.01,233.167,540.14
-289200,-5.21,232.964,539.56
-289100,-5.165,232.761,538.98
-289000,-5.06,232.558,538.4
-288900,-4.919,232.355,537.82
-288800,-4.77,232.152,537.11
-288700,-5.03,231.949,536.41
-288600,-5.15,231.746,535.71
-288500,-4.79,231.542,535.01
-288400,-4.89,231.339,534.3
-288300,-5,231.136,533.6
-288200,-4.69,231,532.9
-288100,-4.645,230.885,532.2
-288000,-4.57,230.799,531.5
-287900,-4.835,230.713,530.79
-287800,-5.02,230.626,529.92
-287700,-4.9,230.54,529.05
-287600,-4.934,230.454,528.18
-287500,-4.99,230.4,527.31
-287400,-5.182,230.675,526.43
-287300,-5.35,230.874,525.56
-287200,-5.493,231.073,524.69
-287100,-5.56,231.273,523.82
-287000,-4.9,231.4,522.95
-286900,-5.209,230.651,522.08
-286800,-5.61,230.1,521.16
-286700,-5.41,229.55,520.24
-286600,-5.27,228.999,519.31
-286500,-5,228.449,518.39
-286400,-5.088,227.898,517.47
-286300,-5.24,227.347,516.55
-286200,-5.203,226.797,515.63
-286100,-5.17,226.4,514.71
-286000,-5.569,226.674,513.79
-285900,-5.77,226.888,512.87
-285800,-5.35,227.102,511.98
-285700,-5.421,227.316,511.08
-285600,-5.55,227.529,510.19
-285500,-5.419,227.743,509.29
-285400,-5.28,228,508.39
-285300,-6.042,228.166,507.5
-285200,-6.61,228.372,506.6
-285100,-6.019,228.579,505.71
-285000,-5.71,228.786,504.81
-284900,-5.71,228.993,503.91
-284800,-5.749,229.2,503.04
-284700,-5.83,229.407,502.17
-284600,-5.756,229.614,501.3
-284500,-5.66,229.821,500.43
-284400,-5.677,230.028,499.56
-284300,-5.69,230.235,498.68
-284200,-5.875,230.441,497.81
-284100,-5.97,230.648,496.94
-284000,-6.21,230.855,496.07
-283900,-6.054,231.062,495.2
-283800,-5.67,231.3,494.42
-283700,-5.743,230.981,493.65
-283600,-5.85,230.606,492.87
-283500,-5.916,230.231,492.1
-283400,-5.98,229.857,491.32
-283300,-5.962,229.482,490.55
-283200,-5.95,229.107,489.77
-283100,-6.195,228.732,489
-283000,-6.31,228.357,488.22
-282900,-6.18,227.982,487.45
-282800,-6.284,227.607,486.82
-282700,-6.55,227.232,486.19
-282600,-6.497,226.857,485.56
-282500,-6.39,226.482,484.93
-282400,-6.521,226.107,484.3
-282300,-6.74,225.732,483.67
-282200,-6.736,225.357,483.04
-282100,-6.73,224.982,482.41
-282000,-6.799,224.607,481.78
-281900,-6.89,224.232,481.15
-281800,-7.104,223.7,480.64
-281700,-7.38,223.373,480.14
-281600,-7.551,222.809,479.63
-281500,-7.82,222.245,479.12
-281400,-7.599,221.68,478.61
-281300,-7.19,221.116,478.1
-281200,-7.023,220.552,477.59
-281100,-6.75,219.988,477.08
-281000,-6.901,219.424,476.58
-280900,-7.12,218.86,476.07
-280800,-6.908,218.296,475.75
-280700,-6.62,217.731,475.44
-280600,-6.076,217.167,475.12
-280500,-5.57,216.603,474.81
-280400,-6.164,216.039,474.49
-280300,-6.53,215.3,474.18
-280200,-6.714,214.987,473.86
-280100,-6.81,214.534,473.55
-280000,-7.148,214.081,473.23
-279900,-7.33,213.628,472.92
-279800,-7.748,213.175,472.75
-279700,-8.04,212.722,472.58
-279600,-8.08,212.269,472.41
-279500,-8.12,211.816,472.24
-279400,-8.298,211.363,472.07
-279300,-8.57,211,471.9
-279200,-8.423,210.196,471.73
-279100,-8.185,209.526,471.56
-279000,-8.05,208.856,471.39
-278900,-7.944,208.186,471.22
-278800,-7.89,207.516,471.18
-278700,-8.632,206.845,471.13
-278600,-9.3,206.175,471.08
-278500,-8.964,205.505,471.03
-278400,-8.41,204.835,470.98
-278300,-8.369,204.384,470.93
-278200,-8.301,204.151,470.88
-278100,-8.26,203.919,470.84
-278000,-7.923,203.686,470.79
-277900,-7.75,203.454,470.74
-277800,-7.756,203.221,470.86
-277700,-7.76,202.988,470.98
-277600,-8.007,202.756,471.1
-277500,-8.22,202.523,471.22
-277400,-8.689,202.2,471.35
-277300,-9.38,201.67,471.47
-277200,-9.279,200.8,471.59
-277100,-9.095,199.93,471.71
-277000,-8.95,199.061,471.83
-276900,-8.641,198.191,471.95
-276800,-8.38,197.322,472.17
-276700,-8.636,196.452,472.39
-276600,-8.99,195.583,472.6
-276500,-8.873,194.713,472.82
-276400,-8.691,193.844,473.04
-276300,-8.58,193.2,473.26
-276200,-8.31,193.871,473.48
-276100,-8.16,194.404,473.69
-276000,-8.003,194.937,473.91
-275900,-7.89,195.47,474.13
-275800,-8.09,196.003,474.44
-275700,-8.28,196.535,474.76
-275600,-8.577,197.068,475.07
-275500,-9.02,197.601,475.39
-275400,-9.002,198.134,475.7
-275300,-8.972,198.191,476.02
-275200,-8.95,197.773,476.33
-275100,-8.737,197.355,476.65
-275000,-8.58,196.937,476.96
-274900,-8.757,196.52,477.28
-274800,-8.97,196.102,477.64
-274700,-8.834,195.684,478
-274600,-8.56,195.266,478.37
-274500,-8.667,194.848,478.73
-274400,-8.878,194.43,479.09
-274300,-9.05,194.1,479.46
-274200,-9.08,194.076,479.82
-274100,-9.11,194.056,480.18
-274000,-9.088,194.037,480.55
-273900,-9.05,194.017,480.91
-273800,-9.077,193.997,481.32
-273700,-9.128,193.977,481.73
-273600,-9.17,193.957,482.14
-273500,-9.072,193.938,482.56
-273400,-8.98,193.918,482.97
-273300,-9.103,193.9,483.38
-273200,-9.31,193.515,483.79
-273100,-9.312,193.164,484.2
-273000,-9.316,192.814,484.61
-272900,-9.32,192.464,485.03
-272800,-9.19,192.113,485.46
-272700,-9.06,191.763,485.9
-272600,-9.174,191.413,486.33
-272500,-9.309,191.062,486.77
-272400,-9.38,190.712,487.21
-272300,-9.285,190.4,487.64
-272200,-9.23,189.8,488.08
-272100,-9.283,189.26,488.51
-272000,-9.34,188.72,488.95
-271900,-9.347,188.179,489.39
-271800,-9.355,187.639,489.85
-271700,-9.36,187.099,490.31
-271600,-9.192,186.559,490.77
-271500,-9.09,186.018,491.23
-271400,-9.124,185.478,491.69
-271300,-9.16,184.7,492.15
-271200,-9.294,185.464,492.61
-271100,-9.458,186.827,493.07
-271000,-9.55,188.191,493.53
-270900,-9.187,189.555,493.99
-270800,-8.98,190.918,494.4
-270700,-8.667,192.282,494.81
-270600,-8.41,193.646,495.22
-270500,-8.472,195.009,495.63
-270400,-8.54,196.373,496.04
-270300,-8.808,197.736,496.46
-270200,-9.25,198.8,496.87
-270100,-9.056,198.275,497.28
-270000,-8.713,197.844,497.69
-269900,-8.51,197.413,498.1
-269800,-8.893,196.982,498.54
-269700,-9.13,196.552,498.97
-269600,-9.039,196.121,499.41
-269500,-8.95,195.69,499.85
-269400,-8.827,195.26,500.28
-269300,-8.65,194.829,500.72
-269200,-8.724,194.2,501.15
-269100,-8.88,193.812,501.59
-269000,-8.803,193.092,502.03
-268900,-8.649,192.373,502.46
-268800,-8.55,191.653,502.82
-268700,-8.544,190.934,503.19
-268600,-8.54,190.214,503.55
-268500,-8.489,189.495,503.91
-268400,-8.45,188.776,504.28
-268300,-8.471,188.056,504.64
-268200,-8.49,187.2,505
-268100,-8.392,187.364,505.37
-268000,-8.28,187.567,505.73
-267900,-8.537,187.77,506.09
-267800,-8.92,187.973,506.46
-267700,-8.873,188.176,506.82
-267600,-8.77,188.379,507.18
-267500,-8.749,188.582,507.55
-267400,-8.707,188.7,507.91
-267300,-8.68,191.627,508.27
-267200,-8.375,193.688,508.64
-267100,-8.21,195.748,509
-267000,-7.649,197.809,509.36
-266900,-7.34,199.87,509.73
-266800,-7.695,201.931,509.97
-266700,-7.9,203.992,510.21
-266600,-8.045,206.053,510.45
-266500,-8.15,208.114,510.69
-266400,-8.22,210.175,510.94
-266300,-8.29,211.7,511.18
-266200,-8.079,209.491,511.42
-266100,-7.81,207.737,511.66
-266000,-7.789,205.984,511.91
-265900,-7.76,204.231,512.15
-265800,-7.663,202.477,512.39
-265700,-7.54,199.9,512.63
-265600,-7.39,201.207,512.87
-265500,-7.24,203.672,513.12
-265400,-7.397,206.137,513.36
-265300,-7.52,208.602,513.6
-265200,-7.477,211.067,513.84
-265100,-7.45,213.532,514.08
-265000,-7.41,215.997,514.33
-264900,-7.39,218.462,514.57
-264800,-6.72,220.927,514.69
-264700,-6.809,223.392,514.81
-264600,-6.98,225.857,514.93
-264500,-7.124,228.1,515.05
-264400,-7.31,227.168,515.17
-264300,-7.052,226.313,515.3
-264200,-6.83,225.458,515.42
-264100,-6.633,224.603,515.54
-264000,-6.54,223.748,515.66
-263900,-6.9,222.893,515.78
-263800,-6.61,222.038,515.83
-263700,-6.17,221.183,515.88
-263600,-6.164,220.328,515.92
-263500,-6.16,219.473,515.97
-263400,-6.2,218.618,516.02
-263300,-6.501,217.763,516.07
-263200,-7.04,216.908,516.12
-263100,-7.416,216.054,516.17
-263000,-7.91,215.199,516.22
-262900,-7.462,214.6,516.26
-262800,-7,213.716,516.24
-262700,-7.481,213.036,516.22
-262600,-7.86,212.355,516.19
-262500,-7.659,211.675,516.17
-262400,-7.53,210.995,516.14
-262300,-7.449,210.315,516.12
-262200,-7.41,209.635,516.09
-262100,-7.74,208.9,516.07
-262000,-7.87,208.65,516.05
-261900,-8.213,208.378,516.02
-261800,-8.35,208.105,515.92
-261700,-8.059,207.833,515.83
-261600,-7.95,207.561,515.73
-261500,-7.46,207.289,515.63
-261400,-7.308,207.017,515.54
-261300,-7.01,206.745,515.44
-261200,-7.135,206.473,515.34
-261100,-7.29,206.201,515.25
-261000,-6.946,205.929,515.15
-260900,-6.68,205.7,515.05
-260800,-7.555,206.504,514.86
-260700,-8.06,207.196,514.67
-260600,-7.994,207.889,514.47
-260500,-7.96,208.582,514.28
-260400,-8.262,209.6,514.08
-260300,-8.42,209.422,513.89
-260200,-8.133,209.085,513.7
-260100,-7.99,208.748,513.5
-260000,-7.528,208.411,513.31
-259900,-7.35,208.074,513.12
-259800,-7.27,207.737,512.9
-259700,-7.302,207.4,512.68
-259600,-7.36,207.063,512.46
-259500,-7.776,206.726,512.24
-259400,-8.38,206.39,512.03
-259300,-8.001,206.053,511.81
-259200,-7.51,205.716,511.59
-259100,-7.347,205.379,511.37
-259000,-7.2,205.042,511.15
-258900,-7.344,204.705,510.94
-258800,-7.43,204.368,510.67
-258700,-6.7,203.9,510.4
-258600,-6.448,203.904,510.14
-258500,-6.02,203.91,509.87
-258400,-6.349,203.917,509.6
-258300,-6.59,203.923,509.34
-258200,-6.82,203.93,509.07
-258100,-6.928,203.936,508.81
-258000,-7.17,203.942,508.54
-257900,-7.088,203.949,508.27
-257800,-6.98,203.955,508.01
-257700,-7.151,203.962,507.74
-257600,-7.29,203.968,507.47
-257500,-7.803,203.974,507.21
-257400,-8.13,203.981,506.94
-257300,-7.28,203.987,506.67
-257200,-6.93,203.994,506.41
-257100,-7.16,204,506.14
-257000,-7.355,203.735,505.88
-256900,-7.68,203.469,505.61
-256800,-7.353,203.204,505.34
-256700,-6.99,202.938,505.08
-256600,-7.069,202.673,504.81
-256500,-7.12,202.407,504.54
-256400,-7.526,202.142,504.28
-256300,-7.69,201.9,504.01
-256200,-7.71,201.51,503.74
-256100,-7.797,201.153,503.48
-256000,-7.99,200.795,503.21
-255900,-8.307,200.438,502.95
-255800,-8.92,200.08,502.78
-255700,-8.477,199.722,502.61
-255600,-7.72,199.365,502.44
-255500,-7.789,199,502.27
-255400,-7.88,198.811,502.1
-255300,-7.866,198.617,501.93
-255200,-7.85,198.424,501.76
-255100,-7.638,198.231,501.59
-255000,-7.47,198.037,501.42
-254900,-7.66,197.844,501.25
-254800,-7.77,197.651,501.13
-254700,-8.059,197.457,501.01
-254600,-8.2,197.264,500.89
-254500,-8.051,197.071,500.77
-254400,-7.99,196.877,500.65
-254300,-7.17,196.684,500.52
-254200,-7.284,196.49,500.4
-254100,-7.48,196.297,500.28
-254000,-7.512,196.104,500.16
-253900,-7.55,195.91,500.04
-253800,-7.621,195.717,500.02
-253700,-7.68,195.524,499.99
-253600,-8.089,195.4,499.97
-253500,-8.38,195.597,499.94
-253400,-8.439,195.742,499.92
-253300,-8.48,195.887,499.89
-253200,-8.111,196.032,499.87
-253100,-7.89,196.177,499.85
-253000,-8.18,196.322,499.82
-252900,-8.33,196.467,499.8
-252800,-7.803,196.612,499.89
-252700,-7.6,196.7,499.99
-252600,-8.33,196.494,500.09
-252500,-8.272,196.345,500.19
-252400,-8.12,196.196,500.28
-252300,-8.169,196.048,500.38
-252200,-8.28,195.899,500.48
-252100,-8.374,195.751,500.57
-252000,-8.57,195.602,500.67
-251900,-8.477,195.4,500.77
-251800,-8.29,196.778,500.98
-251700,-8.012,198.932,501.2
-251600,-7.54,201.086,501.42
-251500,-7.393,203.239,501.64
-251400,-7.23,205.393,501.86
-251300,-7.365,207.547,502.07
-251200,-7.45,209.7,502.29
-251100,-7.46,211.854,502.51
-251000,-7.469,213.9,502.73
-250900,-7.49,212.25,502.95
-250800,-7.61,210.679,503.28
-250700,-7.8,209.108,503.62
-250600,-7.781,207.537,503.96
-250500,-7.76,205.966,504.3
-250400,-7.48,204.395,504.64
-250300,-7.29,202.824,504.98
-250200,-7.73,201.253,505.32
-250100,-7.93,200.2,505.66
-250000,-7.32,200.987,506
-249900,-7.36,201.578,506.34
-249800,-7.43,202.169,506.77
-249700,-7.166,202.761,507.21
-249600,-6.91,203.352,507.64
-249500,-6.937,203.943,508.08
-249400,-6.95,204.535,508.52
-249300,-6.32,205.126,508.95
-249200,-6.288,205.717,509.39
-249100,-6.26,206.309,509.82
-249000,-6.65,206.9,510.26
-248900,-6.383,207.491,510.69
-248800,-5.97,208.083,511.2
-248700,-5.85,208.674,511.71
-248600,-5.993,209.266,512.22
-248500,-6.29,209.857,512.73
-248400,-5.864,210.448,513.24
-248300,-5.6,211.04,513.75
-248200,-5.66,211.631,514.25
-248100,-5.666,212.222,514.76
-248000,-5.67,212.814,515.27
-247900,-6.58,213.405,515.78
-247800,-6.268,213.996,516.31
-247700,-5.99,214.7,516.85
-247600,-5.52,214.87,517.38
-247500,-5.745,215.08,517.91
-247400,-6.01,215.29,518.44
-247300,-6.846,215.499,518.98
-247200,-7.22,215.709,519.51
-247100,-6.8,215.919,520.04
-247000,-6.867,216.129,520.57
-246900,-6.94,216.339,521.11
-246800,-7.339,216.549,521.66
-246700,-7.56,216.758,522.22
-246600,-6.4,216.968,522.78
-246500,-6.156,217.178,523.33
-246400,-5.92,217.388,523.89
-246300,-5.68,217.598,524.45
-246200,-5.439,217.807,525.01
-246100,-5.22,218.017,525.56
-246000,-4.42,218.227,526.12
-245900,-5.07,218.437,526.68
-245800,-4.692,218.647,527.11
-245700,-4.22,218.857,527.55
-245600,-3.77,219.066,527.98
-245500,-4.49,219.276,528.42
-245400,-3.883,219.4,528.86
-245300,-3.43,222.088,529.29
-245200,-3.45,223.994,529.73
-245100,-3.21,225.901,530.16
-245000,-2.83,227.807,530.6
-244900,-3.05,230.4,531.04
-244800,-2.42,231.18,531.4
-244700,-2.41,232.399,531.76
-244600,-1.83,233.617,532.12
-244500,-1.984,234.836,532.49
-244400,-2.13,236.054,532.85
-244300,-2.32,236.7,533.21
-244200,-1.66,240.652,533.58
-244100,-1.25,243.34,533.94
-244000,-0.21,246.029,534.3
-243900,-0.12,249.9,534.67
-243800,0.21,250.215,534.84
-243700,0.87,250.777,535.01
-243600,1.19,251.339,535.18
-243500,1.01,251.901,535.35
-243400,0.36,252.3,535.51
-243300,0.63,256.408,535.68
-243200,0.74,259.592,535.85
-243100,1.57,263.7,536.02
-243000,1.81,265.316,536.19
-242900,2.2,267.592,536.36
-242800,1.89,269.868,536.27
-242700,1.91,272.144,536.17
-242600,1.84,274.419,536.07
-242500,2.42,276.695,535.97
-242400,2.31,278.971,535.88
-242300,2.21,280.2,535.78
-242200,1.96,279.683,535.68
-242100,2.73,279.329,535.59
-242000,2.2,279,535.49
-241900,2.56,276.363,535.39
-241800,1.72,273.898,535.08
-241700,0.51,271.433,534.76
-241600,1.17,268.968,534.45
-241500,0.09,266.503,534.13
-241400,1.03,263.2,533.82
-241300,0.38,262.651,533.5
-241200,0.29,261.82,533.19
-241100,-0.01,260.989,532.88
-241000,-0.56,260.157,532.56
-240900,-0.52,259.7,532.25
-240800,-0.26,258.671,531.66
-240700,-0.81,257.961,531.08
-240600,-1.22,257.251,530.5
-240500,-1.06,256.541,529.92
-240400,-0.72,255.831,529.34
-240300,-1,255.121,528.76
-240200,-0.99,254.411,528.18
-240100,-1.59,253.702,527.6
-240000,-1.12,252.8,527.02
-239900,-0.57,252.005,526.43
-239800,-1.87,250.917,525.61
-239700,-2.26,249.828,524.79
-239600,-2.62,248.739,523.96
-239500,-2.39,247.4,523.14
-239400,-1.41,247.135,522.32
-239300,-2.38,246.79,521.49
-239200,-2.41,246.445,520.67
-239100,-1.65,246.1,519.85
-239000,-1.713,245.8,519.02
-238900,-1.78,245.75,518.2
-238800,-1.58,245.706,517.16
-238700,-2.5,245.662,516.12
-238600,-1.86,245.6,515.08
-238500,-2.33,245.054,514.04
-238400,-2.09,244.112,512.99
-238300,-2.91,243.17,511.95
-238200,-2.45,242.228,510.91
-238100,-2.01,241.286,509.87
-238000,-1.99,240.344,508.83
-237900,-2.274,239.1,507.79
